// Cash Shop Database
// Contains the items sold in the ingame cash shop.
//
// Structure of Database:
// Type,ItemID,Price
//
// Type:
//    0: New
//    1: Hot
//    2: Limited
//    3: Rental
//    4: Gear
//    5: Buff
//    6: Heal
//    7: Other
//    8: Sale
//
// Price:
//    Item cost, in cash points (#CASHPOINTS).
0,12622,500
0,20001,300
2,20001,300
7,20001,300
0,20005,300
2,20005,300
7,20005,300
0,16778,100
2,16778,100
7,16778,100
0,13607,200
5,13607,200
0,12210,25
5,12210,25
0,16249,800
0,16251,800
0,16250,500
4,16249,800
4,16251,800
4,16250,500
4,5808,150
4,2375,150
4,2374,150
4,2537,150
4,2433,150
4,20058,150
4,2729,150
4,5171,150
4,2357,150
4,2524,150
4,2421,150
4,2115,150
4,5054,500
7,5054,500
0,5054,500
7,5317,150
7,7078,150
7,7073,150
7,7484,75
5,12903,50
5,12904,50
5,12905,50
5,12906,50
5,12907,50
5,12908,50
0,12214,25
5,12214,25
0,14168,200
5,14168,200
7,4357,500
7,4359,500
7,4361,500
7,4363,500
7,4365,500
7,4367,500
7,4386,500
7,4407,500
7,4430,500
7,4441,500
7,4399,500
7,4451,300
7,4408,300
0,20083,500
3,20083,500
7,20083,500
0,20089,150
1,40064,100
1,40065,50
1,40066,20
